,新聞,類別
10,（中央社記者張雄風台北8日電）勞動部今天表示，將針對罷工預告期、有效期、糾察線和專業調解人制度等議題，檢討修訂勞資爭議處理法，月底前先邀請航空運輸業、勞工工會與旅遊公會座談，期盼能形成共識。長榮航空罷工告一段落，罷工期間為史上最長，也衍生法規不足的討論，勞動部關係司長王厚偉表示，將通盤檢討勞資爭議處理法，罷工預告期、合法罷工有效期、罷工糾察線、專業調解人制度等，都會提出討論。王厚偉說，這次長榮航空空服員罷工，因為是航空運輸業，對消費者影響較大，因此為保障合法罷工權、兼顧企業永續經營，並讓無辜消費者能有合理的容忍範圍，下一步會凝聚這3個區塊形成共識。王厚偉表示，勞動部會先收集國外立法、案例、特別行業規範做參考，也會召開座談會，預計本月邀集航空業同業公會、勞工工會、旅遊同業公會等座談溝通，廣徵意見、形成共識。他指罷工預告期在這次長榮空服員罷工中被廣泛討論，所以將於座談匯整各界意見；關於罷工有效期一併討論，主要是避免工會合法取得罷工權後，推遲多年才宣布罷工，對於處理勞資爭議沒有幫助。至於專業調解人制度，王厚偉說，這次長榮空服員罷工前已經先調解近20次，但這種大型勞資爭議沒辦法以一般方式處理，需要特別調解、專業人士介入，以免政府介入立場尷尬，因為勞動部居中協調應該中立，若對工會有一點同理心，可能影響政府公信力。王厚偉指出，先前長榮航空公司與工會對25名空服員曠職的定義有歧見，現在已經引入3人小組，由勞、資方各推一位，再共推1位都能信任的人，進行實際判斷、解讀，提出調查建議並交給人評會。至於修法方向，王厚偉說，座談會主要先拋出爭議的問題進行討論，勞動部目前沒有定見。（編輯：翁翠萍）1080708,生活
11,（中央社記者楊思瑞台南8日電）台南市自6月29日迄今，累計6例本土登革熱病例。台南市政府今天邀集包括前疾管局長蘇益仁在內11位專家學者共同成立顧問團經驗傳承，並採最新科技全方位防疫。11位專家學者，包含蘇益仁、陳錦生、杜武俊、莊銀清（南區防疫指揮官）、黃基森、金傳春、柯乃熒、莊坤達等學者；另有前台南市府團隊成員，副市長顏純左、林聖哲(前衛生局長)、張皇珍(前環保局長)。此外，市府社會局長黃志中(前高雄市衛生局長)也是防疫顧問團成員。蘇益仁表示，目前還在第一波群聚感染階段，防治策略為徹底清除孳生源、尋找隱性孳生源加以清除，是未來防疫工作重點。顏純左也強調從陸、海、空三面找到隱形孳生源，「陸」是平面居家環境、「海」是指地下室、「空」是以空拍找尋樹洞或帆布等積水處並立即清除。張皇珍則提出熱點進行預防性化學防治。黃基森強調由下而上的社區動員。莊銀清建議強化醫師對於發燒病患的診斷與治療的敏感度，儘速通報。林聖哲表示善用新媒體，如line群組進行衛教宣導，達到防疫孳清的目的。金傳春教授也提醒家中有長輩的市民，注意長者的健康狀況，一有發燒等症狀，要立即就醫治療。杜武俊則表示，利用科學防疫，工作就能事半功倍；而登革熱防治光靠政府動員無法徹底達成，一定要全體市民動員，民眾有正確防疫意識，才能有效防治登革熱。台南市長黃偉哲感謝顧問團的11位專家學者。他表示，不管是來自學界或是前市府團隊的實務工作者，都提供了非常好的經驗以及實際的傳承，協助市府釐清目前防疫工作的盲點，以及沒有觸及到的死角，期望讓登革熱疫情的防治，能迅速控制與平息。南市府防疫採最新科技，包括運用偵測病媒蚊密度的誘卵桶、透過開放資料建置登革熱疫情地理監測系統做到科學防疫。(編輯:孫承武)1080708,生活
12,（中央社記者吳柏緯台北8日電）原定2020年上路的有線電視分組付費確定暫緩一年實施，引起各界譁然。不過有學者認為，台灣的影視服務已有多元選擇，不須再以分組付費制度限制有線電視。研議超過10年的有線電視分組付費制度，上路時間確定再度延期，對此政治大學傳播學院教授鄭自隆表示，分組付費制度並不適合台灣的市場，而且現今台灣的影視服務不只有線電視單一選擇，國家通訊傳播委員會（NCC）不須執意推動此一制度，應回歸市場機制。鄭自隆分析，目前台灣的有線電視費率採行「吃到飽」的模式，是過去20多年的發展所奠定的穩定模式，NCC作為主管機關，不需要過度干涉，「事實上，確實有些民眾喜歡這樣的付費模式。」他提醒，分組付費制度不但可能影響系統業者與頻道業者，同時民眾要得到較好的服務，成本也會大幅上升，例如「單頻單買」的制度，可能使得較受歡迎的頻道，價格被拉的過高。鄭自隆進一步指出，台灣有線電視的用戶數逐年下降是不爭的事實，而使用網路影視服務的族群也不斷成長。現在除了有線電視外，目前台灣的市場上還有像是Youtube這類的影音平台，不少有線電視的頻道都可以在上面直接收看。此外，不少線上影音服務（OTT）所提供的原創與自製內容，對於消費者來說也是不同的選擇。「如果民眾已經不需要有線電視，那麼市場機制就會逐步將這個服務淘汰。」鄭自隆認為，目前台灣的影視服務市場已經屬於多元競爭，在這樣的前提之下，NCC不宜對特定一種服務做過多的管制。他也呼籲NCC應藉此機會懸崖勒馬，重新思考有線電視的相關政策。（編輯：楊凱翔）1080708,生活
13,（中央社記者管瑞平苗栗縣8日電）中央氣象局統計資料顯示，台灣去年發生約100萬次落雷，地勢空曠的苗栗縣公館鄉一處民宅4年內遭雷擊3次，每次都造成電視機損壞，如今只要一聽到雷聲，就趕緊拔插頭。家住苗栗縣公館鄉福星村的劉增福今天表示，現在聽到雷聲，不管人在哪裡，第一時間一定是「先回家拔插頭」，因為住家2層樓的磚造建築，在4年內連續遭雷擊3次，每次都導致電視機損壞，有一次妻子原本在客廳看電視，聽到戶外傳來巨大雷擊聲響，新買的電視機突然沒有影像，當時還花了新台幣2000元修理費用。劉增福妻子指出，附近鄰居住家的電冰箱、電腦也曾經遭雷擊毀壞，今年6月初公館鄉內的一棵大樹，被雷打到後起火燃燒，連帶導致一旁工廠的電信系統也當場斷線，現在一輩子都怕「雷公」。不過，劉增福住家並未裝設避雷針，劉增福表示，早期住處周邊都是農地，較為空曠，自從最近幾年附近蓋起許多3、4樓透天厝，屋主在屋頂設置避雷針後，鄰近地區就沒有再發生雷擊事件。苗栗市玉清宮總幹事何天貴則指出，廟宇屋頂和神像最高處，在尚未裝設避雷針前，也經常發生落雷情況，導致電器用品毀損，但裝設避雷針後，情況就改善許多，不曾再有雷擊的情況。苗栗縣消防局提醒民眾，如果住家位於空曠處或樓層較高，還是建議民眾裝設避雷針，且避雷針接地線一定要一路拉至地面，與插在土中的接地棒相連，才可以將打雷所產生的電荷成功導引至地面，避免家用電器設備受損。（編輯：張銘坤）1080708,生活
14,（中央社記者汪淑芬台北8日電）擔任桃園市空服員職業工會幹部的長榮郭姓空服員，疑涉及揚言霸凌罷工落跑者及對機長食物加料，長榮航空基於飛安考量，今天啟動調查及報警處理，並將郭女暫調地勤。昨晚傳出這名空服員工會郭姓幹部在Line群組的對話截圖，其中提到要「電爆」罷工中途落跑者，及在機長食物中「加料 」。長榮航空說，這些對話涉及霸凌及有嚴重影響飛安的疑慮，因茲事體大，公司必須慎重處理，但基於保障員工權益，公司會即刻啟動內部調查程序。不過，長榮航空表示，因郭姓幹部宣稱帳號遭盜用，公司也會向警方報案，請警方協助儘速釐清真相。長榮航空說，目前基於飛安考量，等罷工結束，郭姓幹部返回公司上班，會暫時將郭姓空服員改為地面勤務，待調查結果出爐後再行調整。空服員工會20日下午4時起，發動長榮空服員罷工，7月6日勞資協商後簽下團體協約，但罷工真正結束日期是7月9日晚上12時。（編輯：陳清芳）1080708,生活
15,（中央社記者陳偉婷台北8日電）疾管署今天公布，台南市新增1例本土登革熱病例，此個案從發病到通報的隱藏期長達8天，導致傳染風險增加，並呼籲登革熱流行地區民眾和醫療院所應警覺。衛生福利部疾病管制署傍晚公布，台南市新增1例本土登革熱病例，為東區崇德里50多歲男性，近期無出國史，6月30日前每天都會到中西區開山里探視親友。個案於6月30日出現頭痛、發燒等症狀，7月1日就醫後症狀改善，7月5日肢體出現紅疹但未就醫，一直到7月7日衛生單位在中西區開山里執行防治工作時，獲知個案有不適情形，隨即前往個案住家採檢，今天檢驗確診感染登革病毒第二型。疾管署副署長莊人祥表示，個案活動地除住家及中西區開山里親友家外，每週會前往東區崇德或崇義市場2至3次。依台南疫情現況初步研判，個案於中西區開山里周邊社區感染的可能性較高。莊人祥指出，因個案從發病到通報日間隔較久，會增加社區傳染風險，希望登革熱流行區的民眾、醫療院所應提高警覺。民眾一旦有發燒、頭痛、後眼窩痛、肌肉關節痛、出疹等疑似症狀，應儘速就醫並主動告知活動史。醫療院所如遇有疑似個案可使用登革熱NS1快篩試劑輔助診斷並及早通報。今年截至目前，國內累計43例本土登革熱病例，為高雄市37例、台南市6例（中西區3例、東區2例、永康區１例）。另有195例境外移入病例，境外移入病例數為10年同期最高。莊人祥提醒，南台灣上週連日降雨，積水容器若未即時清理，易造成病媒蚊孳生，民眾雨後應加強落實巡、倒、清、刷，以降低病媒蚊密度。（編輯：張雅淨）1080708,生活
16,（中央社記者王淑芬高雄8日電）高雄市不僅有登革熱群聚事件，上月下旬又有養護機構發生類流感群聚，有5人及1名工作人員有發燒、咳嗽等症狀，快篩為A型陽性流感，機構未依規定通報，衛生局將依法裁處。衛生局新聞稿指出，7月1日接獲機構疑似類流感群聚事件，高雄市機構於6月22日至7月4日，共5人、1名工作人員有發燒、咳嗽等上呼吸道症狀。經快篩6人都為A型陽性流感，隨即啟動疫情調查、預防性投藥及實地輔導查核等防疫。衛生局說，經查發現6月22日、23日各有1住民及工作人員有上呼吸道感染症狀，機構未依據衛生福利部疾病管制署「人口密集機構傳染病監視作業」於24小時內通報，違反傳染病防治法規定，將依法裁處。衛生局說，依疾管署監測資料，今年第27週(6/30-7/6)類流感急診就診率全國10.85%、高雄市10.78%。雖未達流感「流行閾值」（臨界值）的11.5%，但社區中仍有流感病毒活動及群聚事件發生。提醒醫療院所、人口密集機構要提高警覺及早防範，如疑似群聚應落實通報，以利防疫。衛生局呼籲人口密集機構要落實防疫措施，包括時效通報、生病速就醫隔離、重點區域常消毒、生病訪客不探視等，配合降低感染流感及群聚風險。(編輯:孫承武)1080708,生活
17,（中央社記者侯文婷台北8日電）中央通訊社數位中心攝影記者裴禛今天在中央社新聞學院分享拍攝香港「反送中」活動經驗，告訴實習生在大型抗議現場要「保持冷靜」找到價值，並藉由觀察「做好該做的事」。香港因修訂「逃犯條例」引發「反送中」抗議，並在台灣獲得大量關注。曾兩度到新聞現場拍攝6月16日大遊行及7月1日示威的裴禛回台分享第一手經驗，並從防範大規模警民衝突的行前準備開始，提醒實習生在混亂現場保障自身安全的重要性。而在實際進入拍攝現場前，裴禛先向同事請教先前赴港經驗，到現場除了觀察場地外，也藉由追蹤行前新聞，掌握遊行路線及攝影時間，進而構思拍攝主題及畫面，為隨時可能變動的事件做好準備。她以616遊行為例，提到15日剛有身著黃色雨衣的男子因抗議逃犯條例墜樓身亡，因此規劃上午先到悼念現場，下午再前往遊行集合地點尋找高處拍攝，深夜則跟著示威者待在馬路守夜。至於如何從大型遊行中挑出拍攝主軸，裴禛表示，除了基本「遠中近」取景，還要抓拍有代表性的標語、物件或動作，並找到不同族群，增加活動立體度。憑藉這次遊行的經驗，裴禛記錄起七一示威也更加得心應手，因為已知道可取材的地點，所以能在拍到需要的照片後，迅速返回局勢緊張的立法會支援，與中央社駐香港特派員張謙一起跟著示威者進入議場。裴禛表示，身處第一線得用照片解釋新聞現場，但有時會有自己看不到的盲點，這時編輯台會協助自己看得更全面，但身為攝影記者的要務就是「保持冷靜，做該做的事」，好好記錄現場「氛圍」跟關鍵的畫面。中央社數位中心攝影組長孫仲達也分享，攝影記者在現場要思考如何把新聞拍出來，做個及格的攝影記者要拍到必要的畫面，但拍到不同的的東西，才是攝影記者的功夫所在。數位中心主任黃淑芳也回應，照片不像文字可以事後補充，取決的是「決定性的瞬間」，攝影記者必須懂得「隨機應變」，才能把畫面帶回來，做個及格的記者。回應攝影記者在多工時代是否會被取代時，黃淑芳認為不會，但表示這需要付出努力，除了與線上的記者學習以外，更要好好經營出攝影記者價值所在的「照片觀點」。（編輯：周永捷）1080708,生活
18,（中央社記者吳佳蓉台北8日電）今晚威力彩頭獎上看新台幣8.7億元，明晚大樂透頭獎則上看3.7億元。台彩統計，近年兩大遊戲頭獎得主星座最多為天秤座，生肖部分，則以屬蛇的得主人數最多，不妨可趁獎金衝高試試手氣，挑戰高額頭獎。台灣彩券公司表示，威力彩目前已連36摃，今晚開獎頭獎上看8.7億元，若為1注獨得，將成為今年最高以及近兩年內第2高頭獎金額。台彩統計，從2014年第4屆公益彩券發行至今年6月底，威力彩與大樂透已在全國產生154位幸運頭獎得主，其中，男性得主比例為73%，高於女性27%。台彩指出，頭獎得主的星座以天秤座（13%）居冠、魔羯座（12%）緊追在後，牡羊座、處女座（10%）位居第3；生肖部分，則以屬蛇（13%）者最多，屬猴（12%）及屬馬（10%）則分列第2、3名。台彩表示，隨頭獎累積金額持續增加，這幾天買氣升溫，包牌投注的情形也有所增加；統計民眾包牌購買威力彩以及大樂透的比例較平常多出3成。（編輯：李信寬）1080708,生活
19,（中央社記者葉子綱雲林縣8日電）雲林口湖牽水狀祭典年年超渡174年前雲林沿海大水災罹難先民，日本學者團隊再度來台，今天在金湖國小和雲林縣政府文化處、在地團體等交流座談，從水難談到關懷環境變遷。清朝道光25年（西元1845年）農曆6月，雲林西南沿海發生暴雨及海水倒灌，引發大水災又發生瘟疫，在口湖、四湖等地上萬先民罹難，後人每年農曆6月7日及8日舉辦牽水狀（車藏，台語，音「狀」）祭典超渡先人，流傳百年後同時形成祈安文化祭的特殊民俗活動。口湖牽水狀民俗在民國99年7月獲得文化部前身、行政院文化建設委員會，指定為國家級無形文化資產及重要民俗活動，每年在口湖鄉蚶仔寮萬善祠及金湖萬善爺廟辦放水燈、超渡祭典等，在下寮仔萬善爺廟辦挑飯擔、萬善同歸塚點燈等儀式，成為當地與農曆春節一樣吸引人潮返鄉的重要活動。日本災難記憶與災後民俗研究的學者團隊民國105年開始來台觀察記錄牽水狀活動，感受台灣祈安民俗、思考環境變遷與人類生存課題，日本學者金菱清率團今年再度來台，在金湖國小與台灣學者、雲林縣政府文化處、3地廟宇、海線社區大學及在地團體等座談交流。座談議題有災害存在的永恆性、牽水狀儀式傳承、台灣水難祭典與日本慰靈祭典差異、社會學及人類學角度看祭儀等；日本團隊指日本慰靈祭典較嚴肅，台灣水難祭典較常民化，牽水狀已成為祈安文化特殊民俗。在口湖鄉成龍國小楊湘琪等師長義務指導及培訓3年後，成龍國小及台興國小的蚶仔寮村落學童將於10日在蚶仔寮萬善祠，首度一手包辦追思會傳承禮儀民俗。楊湘琪座談時說，帶領小小志工認識牽水狀祭典，透過夏令營讓廟宇成為教室，小朋友不只雀躍，還覺得很新鮮有趣，既傳承在地民俗文化，又發展出關懷環境與重視生態的觀念。（編輯：翁翠萍）1080708,生活
