,新聞,類別
10,（中央社台北6日電）陸媒報導，電影「小小的願望」片商昨天表示，由於「製作原因」，7月18日無法在中國上映，具體上映日期將延期再定。失望的大陸影迷猜測，該片遭到撤檔，問題就出在「願望」。新浪娛樂報導，由台灣藝人王大陸、大陸影星魏大勳、彭昱暢聯合主演的「小小的願望」，原來的片名是「偉大的願望」，早已敲定7月18日上映，但片商於6月25日發表聲明，宣佈片名改為「小小的願望」，理由是「應市場需求」。聲明意有所指稱，「每個平凡人的願望都是偉大的」，請大家繼續支持，7月18日見。當時即被指遭廣電當局整改，被迫改名。「小小的願望」講述身患肌肉萎縮症的18歲少年高遠（彭昱暢 飾），被醫生告知時日不多，決心在臨死之前完成一個願望，那就是成為一個真正的男人。他的死黨徐浩（王大陸 飾）和張正陽（魏大勛 飾）決定不惜一切奮戰到底，讓高遠在臨死前完成「破處」的願望。「小小的願望」只是溫馨喜劇電影，卻仍難逃被撤檔，引發大陸網民憤怒，在微博新聞討論串一面倒痛批當局連看電影的小小願望也要封殺；新浪為此趕緊封鎖相關討論串內容。許多網民推測，問題就出在願望，就算電影早已通過審查，現在偉大的祖國即將迎來70週年國慶，「破處」完全不符合社會主義核心價值觀，「就算偉大的改成小小的，這種願望都是不能有的」。「小小的願望」被撤檔，並非王大陸首度在中國市場碰壁。他主演的古裝連續劇「狼殿下」，早在2017年9月殺青，但因為當局祭出「限古令」，至今仍無法開播。此前，中國大陸7月暑假檔期已有「八佰」、「少年的你」兩部電影被撤檔。講述八百壯士堅守四行倉庫的電影「八佰」，因「技術原因」取消播映。外界指向電影涉嫌美化國民黨及多次出現青天白日滿地紅的國旗。據報導，大陸女星周冬雨和易烊千璽主演「少年的你」，日前宣布撤檔，原因則是內容涉及高考制度和校園霸凌。（編輯：楊昇儒/沈朋達）1080706,娛樂
11,（中央社記者洪健倫台北5日電）日本導演中野量太今天為新片「漫長的告別」訪台宣傳，本片兩名女主角蒼井優與竹內結子拍完片後都傳出婚訊，導演被問到想和哪一名台灣女星合作，回答是桂綸鎂。「漫長的告別」由日片「幸福湯屋」導演中野量太執導，並由日本男星山崎努與女星竹內結子和蒼井優在片中飾演父女。「漫長的告別」獲得2019台北電影節選映，中野量太也趁影展期間來台灣會影迷，今天下午在台北接受媒體訪問。談到本片兩名主演女星竹內結子與蒼井優拍完片之後都結婚了，中野量太笑著補充，還有前作「幸福湯屋」的宮澤理惠也是拍完該片後就步上紅毯，「想結婚的女星歡迎找我合作」。被問到最想和哪一位台灣女演員合作，他表示最喜歡女星桂綸鎂，希望未來有機會合作拍片。「漫長的告別」將日本作家中島京子以走過父親失智的親身經歷寫成的8篇短篇故事，改編成一部感人的家族故事。講述70歲的老父親被發現失智，姊妹倆因而面臨著照顧失智老父的難題。直到有一天老爸走失了，她們發現老爸的記憶原來一直停留在全家人最快樂的那一天，這個美好的回憶提醒著她們家人的愛一直都在。中野量太表示，原著作家中島在改編時給他很大的發揮空間，讓他能夠在消化8篇故事內容之後，再用自己的方式重新寫成一則長篇故事，並在劇本中加入許多原創情節，以及他在訪談失智者時的動人見聞。中野量太最難忘的拍攝過程，是片尾蒼井優與山崎努飾演的父女在住家走廊上的一場長談。他表示，這場戲要呈現兩人對話牛頭不對馬嘴，卻仍能互相理解的氣氛，在表演與影像呈現方式上非常難，加上拍攝時天候不佳，讓他一直很緊張。但蒼井優與山崎努的精湛演技，動人地呈現了這場父女對話，在拍攝的尾聲，天氣也逐漸放晴，走廊上更射進一道美麗的光芒。當天在場邊探班的原著作家中島京子，看到這個巧合的瞬間，也感動落淚，認為是她的爸爸回來了。中野量太明天還將出席「漫長的告別」在台北電影節的映後座談，本片將於7月26日在台正式上映。（編輯：唐聲揚）1080705,娛樂
12,（中央社記者洪健倫台北5日電）布萊德彼特與李奧納多狄卡皮歐主演新片「從前，有個好萊塢」，兩人日前接受雜誌訪問時透露，導演昆汀塔倫提諾在前製期保密到家，所有人不但共用一份劇本，還不能帶離導演家。美國導演昆汀塔倫提諾（Quentin Tarantino）新片「從前，有個好萊塢」（Once Upon a Time in Hollywood），故事背景設定在好萊塢嬉皮巔峰時期的1969年，講述一名過氣電視演員與長期搭檔的替身演員試圖重回好萊塢建立名聲，卻意外捲入一場謀殺血案。本片卡司集結兩大巨星，包括曾與昆汀合作電影「惡棍特工」的「小布」布萊德彼特（Brad Pitt），以及電影「決殺令」的李奧納多狄卡皮歐（Leonardo DiCaprio）。電影公司今天發布新聞稿表示，李奧納多、小布及昆汀日前一同接受雜誌訪問，李奧納多與小布提到，昆汀在電影前製階段，找他們到家裡看劇本，但劇本只有一份，上面還有昆汀手寫的內容。電影公司解釋，這是昆汀個人獨特的工作習慣，他在前製階段極為保密，只準備一份劇本，且絕對不能帶離他家，劇組人員若要看劇本，都只能在昆汀家看。李奧納多與小布更是當時所有演員中，唯二看到完整劇本內容的人。小布提到，由於劇本只有一份，經過多人翻閱，過幾週後發現上面「污漬都比台詞多」。李奧納多則說，本片講述在短短2天內的故事，敘事架構非常特別，「打破很多框架與規則」。昆汀表示，他總共花了6年醞釀「從前，有個好萊塢」，是他投入最多時間和心思的電影。對於在洛杉磯長大的昆汀來說，這部作品也帶有自身的成長印記。電影「從前，有個好萊塢」將於7月24日在台灣搶先全球上映。（編輯：張雅淨）1080705,娛樂
13,（中央社記者洪健倫台北5日電）近代科幻經典名片「駭客任務」（The Matrix）是於1999年上映，至今適逢20週年，它的4K數位修復版將在26日重返台灣大銀幕，重現影星基努李維在片中的救世主英姿。發行片商表示，在「駭客任務」中飾演救世主的基努李維（Keanu Reeves），今年表現活躍，新作不斷。而他1999年主演的「駭客任務」，更是奠定巨星地位的代表作之一。今年適逢「駭客任務」上映20週年。電影公司推出4K數位修復版，重返台灣大銀幕。「駭客任務」是美國奇才雙導演華卓斯基姐妹（The Wachowskis）轟動影壇的作品。導演大膽假設未來世界中，虛擬與真實世界的界線將變得模糊，每一件事物都可能只是電子宇宙「母體」創造出來的假象。兩位導演融合東方武術，在片中以強烈的影像風格建構出「駭客任務」的母體世界觀，引發觀眾對於「真實」的熱烈探討。導演更在2003年之後，陸續推出「駭客任務2：重裝上陣」（The Matrix Reloaded）和「駭客任務3：最後戰役」（The Matrix Revolutions），完成堪稱經典的「駭客任務三部曲」。（編輯：屈享平）1080705,娛樂
14,（中央社記者姜遠珍首爾5日專電）由韓中日3國跨國組成的南韓偶像男團PENTAGON將於8月到12月在全球23座城市舉行24場演唱會。其中，10月6日將在台北國際會議中心登台獻唱，與台灣粉絲近距離相會。南韓經紀公司CUBE娛樂今天表示，PENTAGON世界巡迴演唱會PRISM於4月27日和28日在首爾BLUE SQUARE MARKET HALL開唱後，原計畫展開15站的全球巡演。但在智利、義大利、葡萄牙、德國、法國、俄羅斯等國歌迷的強烈要求下，增加聖地牙哥、米蘭、里斯本、柏林、巴黎、莫斯科、東京、大阪8站。PENTAGON原定的15站全球巡演，除首爾外，其他場次規劃如下：8月31日在印尼雅加達THE KASABLANKA HALL；9月3日在加拿大多倫多PHOENIX CONCERT THEATRE；隨後前往美國，9月5日在紐約燈塔劇院（BEACON THEATRE），9月6日在芝加哥藍調之屋（HOUSE OF BLUES），9月8日在達拉斯藍調之屋（HOUSE OF BLUES），9月10日在西雅圖摩爾劇院（MOORE THEATRE），9月12日在洛杉磯威爾頓劇院（THE WILTERN），9月13日在聖荷西CITY NATIONAL CIVIC。接著轉往中南美洲，9月15日在巴西聖保羅TROPICAL BUTANTA；9月20日在墨西哥蒙特雷AUDITORIO PABELLON M，9月22日在墨西哥城AUDITORIO BALCKBERRY。10月回到亞洲演出，預計10月6日在台北國際會議中心（TICC）；10月12日在香港九龍灣國際展貿中心（KITEC）匯星（STAR HALL）表演廳；11月2日在新加坡星爍藝術表演中心（THE STAR THEATRE）。（編輯：馮昭）1080705,娛樂
15,（中央社記者姜遠珍首爾5日專電）南韓演藝界消息人士透露，模特兒出身演員金宇彬近期正考慮演出導演崔東勳籌備中的新作，這將是罹患鼻咽癌2年多的金宇彬復出後第一部作品。南韓「日刊體育」今天指出，金宇彬拍攝2016年12月上映的「Master」之後，於2017年5月被診斷為鼻咽癌，至此暫停演藝活動，專心接受治療及休養。報導指出，崔東勳和金宇彬曾於2017年計畫共同拍攝「竊聽」，但由於金宇彬健康出狀況，計畫取消。崔東勳當時曾表示，將無限期延遲「竊聽」的拍攝計畫，直到金宇彬完全康復。據悉，崔東勳新作是「活在2019年的韓國外星人故事」，製作費用達400億韓元（約新台幣10.62億元），將類似「與神同行」方式系列推出。（編輯：王永志）1080705,娛樂
16,（中央社記者姜遠珍首爾4日專電）南韓大法院（最高法院）今天表示，法院將於11日就南韓政府拒絕對韓裔美籍歌手兼演員劉承俊簽發在外同胞簽證（F-4）是否違法做出終審判決。南韓聯合新聞通訊社報導，1997年以爆勁的剪刀舞出道的劉承俊一度紅透半邊天，具正能量形象的他多次承諾將履行兵役義務，然而他的服兵役承諾卻一再跳票，劉承俊2002年初放棄南韓國籍入籍美國，引發公憤。劉承俊2002年在日本進行演出，當時即將入伍的他在向南韓兵務廳提交保證書後，獲得特別海外出國許可。然而劉承俊卻直接從日本轉往美國，並且在美國取得美國籍。2002年1月，劉承俊突然放棄南韓國籍並取得美國籍，涉嫌逃避兵役，激起公憤。因此，南韓法務部根據南韓「出入境管理法」第11條第1款「對危害大韓民國利益或公共安全的個人可拒絕入境」的規定，禁止他入境南韓。劉承俊在美國期間，他的岳父在南韓去世，他僅被允許在南韓停留幾天，辦理葬禮後，再度被南韓法務部出入境管理所職員送出南韓。報導指出，劉承俊於2015年9月針對南韓駐洛杉磯總領事向首爾行政法院提起訴訟，要求總領事取消對其拒發在外同胞簽證（F-4）的決定。南韓法院認為，若劉承俊重回南韓進行演藝活動，會削弱正在服兵役官兵的士氣，助長青少年逃避兵役的風氣，他入境屬於「有可能敗壞社會良好風氣」的情況，一審和二審均駁回他的訴求。南韓最高法院將於11日就南韓政府拒絕對韓裔美籍歌手兼演員劉承俊簽發在外同胞簽證（F-4）是否違法做出終審判決。劉承俊放棄南韓國籍後，在美國發展演藝事業，2010年和成龍、王力宏主演導演丁晟的電影「大兵小將」，2011年參演電影「硬漢2：奉陪到底」，2013年，與釋行宇、南賢俊、姜寶成合作主演3D功夫電影「金剛王：死亡救贖」，同年還參演電視劇「精忠岳飛」，飾演金金兀朮一角。（編輯：高照芬）1080704,娛樂
17,（中央社記者姜遠珍首爾4日專電）根據首爾江南警察署指出，偶像男團神話成員李玟雨於5月29日在首爾新沙洞一家酒吧喝酒後，被指控涉嫌對女性性騷擾，不過，經紀公司表示，純屬誤會，報案已撤銷。南韓「日刊體育」報導稱，李玟雨所屬的經紀公司表示：「（李玟雨）最近在與熟人一起喝酒時發生一些誤會，當事人之間已經透過溝通消除誤會。不僅沒有性騷擾，也已經撤銷報案。」報導指出，該兩名女性與李玟雨認識，其中一人在當天酒後，清晨6點44分報警稱被性騷擾。該名女性在警察調查中陳述受到性騷擾的過程，不過，警方傳喚李玟雨時，這項控訴已撤銷。（編輯：王永志）1080704,娛樂
18,（中央社記者鄭景雯台北3日電）歌手舒米恩6月30日在英國Glastonbury演出時，提到台灣是亞洲第一個通過同婚的國家，並高舉彩虹旗大聲說出我們來自台灣，台下觀眾也齊聲吶喊Taiwan，讓舒米恩驕傲又難忘。原住民歌手舒米恩近期在英國、德國巡演，他在臉書分享6月30日於英國Glastonbury音樂節的演出實況。當天在演唱時，舒米恩提到台灣是亞洲第一個通過同婚的國家，並用母語演唱、高舉彩虹旗，大聲說出「我們來自台灣，」當下全場觀眾跟著他齊聲吶喊Taiwan、Tawian，場面令人動容。舒米恩表示，如果用一句話來概括整個感受，「當我們走到國際，我們可以為我們的身分感到驕傲以及自信。」舒米恩轉往德國，將於3日在漢堡、5日在柏林、7日在杜塞道夫演出，8月到印尼、澳洲，9月到日本、10月到瑞士伯恩，下半年都在世界各地巡演。（編輯：翁翠萍）1080703,娛樂
19,（中央社記者洪健倫台北2日電）2019第21屆台北電影節今晚揭曉「國際新導演競賽」結果，國片「大餓」獲得觀眾票選獎，德國電影「蘿莉破壞王」則榮獲首獎「最佳影片」，並抱走新台幣60萬元獎金。「大餓」是導演謝沛如的首部長片，講述一位胖女孩踏上艱辛減重過程的故事。謝沛如表示，很高興獲得觀眾票選獎。「大餓」在籌製階段曾參與2017年北影「國際提案一對一工作坊」，謝沛如說，「大餓」是在北影長大的作品。「蘿莉破壞王」（System Crasher）榮獲首獎「最佳影片」，該片描述一名讓社工與同學都害怕的暴躁女孩，一心想回家與母親同住，直到在一名輔導專家陪伴下，逐漸逃出惡性循環。該片由攝影指導尤諾斯．羅伊．印瑪（Yunus Roy Imer）代表導演領獎，他感謝評審團肯定，也感謝台北電影節邀請。評審團指出，「蘿莉破壞王」風格突出，從劇本、演員到技術層面皆有極高成熟度。南韓電影「我們與愛的距離」（The House of Hummingbird）獲得「評審團特別獎」。本片透過一名女孩的成長，回顧1994年南韓社會，導演金寶拉表示，她是台灣電影頭號影迷，能在台北電影節獲獎，感到非常榮耀。本屆評審團增設「特別提及獎」，頒給講述羅興亞難民故事的泰國電影「邊境幻夢」（Manta Ray），由泰國資深攝影師普帝邦．阿朗潘（Phuttiphong Aroonpheng）首次執導。今年「國際新導演競賽」首次與台灣影評人協會合作，設立會外獎「台灣影評人協會推薦獎」，由7名協會成員擔任評審，選出「蘿莉破壞王」獲獎。「國際新導演競賽」評審團由導演沈可尚擔任召集人，評審還包括多倫多影展選片人喬凡娜．芙維（Giovanna FULVI）、電影監製劉蔚然、藏族導演暨作家萬瑪才旦及日本導演山下敦弘。（編輯：張雅淨）1080702,娛樂
20,（中央社記者洪健倫台北2日電）義大利演員安瑞克羅維梭，在新片「米開朗基羅：無盡之詩」飾演藝術大師米開朗基羅，在片中繪製壁畫「創世紀」，更為重現雕刻「大衛像」過程雙臂嚴重拉傷，讓他感嘆大師難為。電影公司今天發布新聞稿表示，義大利影星安瑞克羅維梭（Enrico Lo Verso），在新片「米開朗基羅：無盡之詩」（Michelangelo–Endless）中，飾演雕出大理石像「大衛像」的文藝復興大師米開朗基羅，安瑞克羅維梭堅毅詮釋了藝術創作者追求完美的信念。新聞稿表示，為飾演米開朗基羅，安瑞克羅維梭不僅得在拍片時每日仰頭90度角數小時，以演出繪製教堂圓頂壁畫「創世紀」的過程，還要以巨斧敲擊原石、雕塑出艷驚世人的「大衛像」。安瑞克羅維梭賣力演出，更讓雙臂嚴重拉傷，讓他感嘆大師難為。新聞稿也指出，除了飾演米開朗基羅，安瑞克羅維梭也曾在電影「拉斐爾：藝術之王」（Raphael - The Lord Of The Arts）中，飾演另一位文藝復興藝術大師拉婓爾，私下的安瑞克羅維梭更是一名藝術迷，對文藝復興時期作品如數家珍，更曾以豐沛藝術知識擔任多部電影的藝術顧問。根據新聞稿，電影「米開朗基羅：無盡之詩」獲得梵諦岡博物館（Musei del Vaticano）以及米開朗基羅後代的協助，極其罕見地在片中收錄多達50件大師真跡，並以最高畫質的4K攝影機捕捉名作細節，呈現米開朗基羅追求完美的成就。「米開朗基羅：無盡之詩」將於7月5日在台上映。（編輯：翁翠萍）1080702,娛樂
21,（中央社洛杉磯1日綜合外電報導）主辦奧斯卡金像獎的美國影藝學院（AMPAS）今天表示，今年加入這個好萊塢組織的女性首度占新會員半數，女神卡卡（Lady Gaga）也在受邀名單上。美國影藝學院每年發布一輪邀請，由於面臨成員多為白人與男性的批評，最近幾次已大幅增加女性及少數族裔人數。主辦單位告訴法新社，這是年度新加入會員首次有50%為女性。在呼籲抵制奧斯卡頒獎典禮以及社群媒體出現「#奧斯卡好白」（#OscarsSoWhite）憤怒反彈下，美國影藝學院理事會3年前誓言，要讓女性及非白人成員於2020前倍增。美國影藝學院今天宣布的受邀842人中，包括克萊兒芙伊（Claire Foy）、伊莉莎白摩斯（Elisabeth Moss），以及靠「一個巨星的誕生」（A Star Is Born）奪得今年奧斯卡最佳原創歌曲獎的女神卡卡等女力領袖。在傳統由男性主宰的導演類別中，今年新加入的女性人數超過男性，製片與編劇類別新成員也是女多於男。在最新會員加入後，美國影藝學院的女性成員占比將從2015年的25%攀升至32%。新增有色人種會員略低於1/3，但代表美國影藝學院已達成讓非白人成員倍增的目標，因為2015年時僅占8%。加入影藝學院的新成員包括「瘋狂亞洲富豪」（Crazy Rich Asians）導演朱浩偉、「羅馬」（Roma）的墨西哥女星瑪麗娜德塔維拉（Marina de Tavira），以及「黑豹」（Black Panther）演員斯特林布朗（Sterling K. Brown）與莉蒂西亞萊特（Letitia Wright）。（譯者：侯文婷/核稿：劉學源）1080702,娛樂
22,（中央社記者鄭景雯台北2日電）戲劇「國際橋牌社」今天拍殺青戲，還原反軍人干政示威遊行場景，議員阮昭雄也客串演出。製作人汪怡昕表示，預計11月上映，下階段籌拍外傳「地下電台與計程車司機」。「國際橋牌社」今天下午在二二八紀念館拍殺青戲，還原1990年反軍人干政示威遊行場景，演員陳妤、夏騰宏、唐從聖、陳慕義，在劇中一起為國家發聲，表達人民有權利對政府反映真實心聲，台北市議員阮昭雄也客串演出。阮昭雄表示，今天雖然是客串，但這個場景很熟悉，像是回到學生時代在街頭抗議的時光，有點小懷念。提到昨天香港七一遊行，與今天拍攝的抗議場景有些相似，阮昭雄說，「歷史好像不斷在重複，人類應該要記取教訓，大家應該要共同努力，尤其民主不是天上掉下來，要靠大家一起來爭取。」「國際橋牌社」開拍以來一波三折，工作團隊從導演、副導、演員都換過一批，光是今天這場殺青戲，拍到一半就遇到大雨而暫停。汪怡昕表示，第一季殺青後要進入後製期，預計在11月上映，一季有10集，第2季劇本即將完成，預計2020年2月後開拍，在季與季之間，也將籌拍外傳「地下電台與計程車司機」。「國際橋牌社」第一季耗資新台幣7500萬元，汪怡昕表示，「有信心賺得回來」。夏騰宏認為，「國際橋牌社」其實是歷史劇，藉由戲劇讓觀眾了解這片土地上曾經發生的事，政治只是其中一個元素，不需要那麼放大來看。在劇中飾演記者的陳妤說，劇中的角色與之前飾演的記者不太一樣，「她對這個世界很憤怒，可是她憤怒的事情，不是她自己的權益。」近期因「我們與惡的距離」爆紅的陳妤說，已經有一年沒有放假，殺青後決定要休假5天，到蘭嶼潛水。（編輯：李錫璋）1080702,娛樂
23,（中央社記者洪健倫台北2日電）男星彭于晏昨晚自中國飛回松山機場時，海關在隨身行李中發現未申報檢疫的酪梨、香蕉等水果，違反檢疫規定，開罰新台幣3000元。彭于晏經紀人今天說，水果其實是她的。彭于晏經紀人向中央社記者指出，「行李裡的水果是我的，我的錢包、筆電也都在裡面。」她表示，昨晚與彭于晏在松山機場入關時，由於現場入關旅客多，她要求彭于晏先走。但因為這趟工作行李較多，加上她的隨身行李又重，彭于晏便很紳士地幫她拿隨身行李入關。她說，等到發現彭于晏因為她的行李有未申報檢疫的酪梨、香蕉等水果而被罰時，她曾向海關人員澄清行李是她的，不該向彭于晏開罰但未果。彭于晏經紀人表示，她很抱歉，因為彭于晏一個好心的紳士舉動，卻引起這樣的風波，「如果是我自己背這個行李，今天就不會有這則新聞。」她解釋，違反規定的水果，只是她在飛機上吃剩帶下來的，份量很少，她只是不想浪費食物。她表示，對於攜帶新鮮水果入境需要申報的規定，真的不知情，她曾當場詢問海關人員是否能將違禁品現場丟棄，卻被海關人員拒絕。她說，「當初若知道有這項規定一定會遵守，絕對尊重所有的法律規定。」（編輯：戴光育）1080702,娛樂
24,（中央社記者姜遠珍首爾2日專電）南韓地方法院今天對藝人朴有天涉嫌吸毒案一審判他有期徒刑10個月、緩刑2年，朴有天接受媒體採訪時說，對讓很多人深感擔憂再次道歉，將為社會服務，認真做人。南韓聯合新聞通訊社報導，朴有天在採訪中落淚並向粉絲們致歉，隨後乘車離開看守所。報導說，宣判的京畿道水原地方法院外有來自韓國和日本的數十名粉絲身穿印有支持朴有天字句Always Beside of Park Family的T恤，高呼朴有天的名字並落淚。水原地方法院今天上午對朴有天涉嫌吸毒案做出一審判決，判處有期徒刑10個月、緩刑2年。法院還命令朴有天接受保護觀察與進行治療，並追繳140萬韓元（約新台幣3萬7300元）罰款。朴有天涉嫌於今年2、3月與其前未婚妻黃荷娜3次購買1.5公克的冰毒，並分6次吸食，而被提起公訴。他也涉嫌於2018年9、10月與黃荷娜夥同吸毒。（編輯：郭中翰）1080702,娛樂
25,（中央社記者姜遠珍首爾2日專電）南韓水原地方法院今天對藝人朴有天涉嫌吸毒案做出一審判決，判處被告有期徒刑10個月，緩刑2年，追徵140萬韓元（約合新台幣3萬7300元）罰款，並命令保護觀察和治療。南韓聯合新聞通訊社報導，法官判決表示，毒品類犯罪對個人和社會造成的危害大，且毒品容易上癮，因此有必要給予嚴懲。法官判決指出，對於朴有天而言，判處他羈押拘禁，還不如給他一次「再社會化」的機會更適切。朴有天涉嫌於今年2月到3月與前未婚妻黃荷娜3次購買1.5公克冰毒並分6次吸食而被提起公訴。他還涉嫌於去年9月到10月與黃荷娜夥同吸毒。（編輯：林憬屏）1080702,娛樂
26,（中央社記者洪健倫台北1日電）第21屆台北電影獎將於7月13日在台北市中山堂舉行頒獎典禮，台北電影節今天公布眾星雲集的第一波頒獎人名單，女星林心如、許瑋甯將共同頒發最佳女主角獎。台北電影獎是專為台灣電影設立的競賽平台，第21屆頒獎典禮第一波頒獎嘉賓名單今天公布，最佳女主角將由2016年台北電影獎影后許瑋甯，與和她默契絕佳的女星林心如共同頒獎。北影透露，兩人將在頒獎典禮上帶給觀眾特別的驚喜。今年台北電影節影展大使林依晨則將為最佳新演員獎頒獎。多次入圍台北電影獎的女星隋棠將與2度獲封台北電影獎影后的謝欣穎，共同擔任最佳紀錄片獎頒獎人。在國片「比悲傷更悲傷的故事」中飾演情敵的演員劉以豪與張書豪，將一同揭曉最佳美術設計獎及最佳造型設計獎。國片「寒單」男主角胡宇威與「比悲傷」女星陳庭妮將一同揭曉最佳攝影獎得主；以電影「狂徒」與電視劇「我們與惡的距離」爆紅的男星林哲熹，將與影視歌三棲的女星李千那，一起頒發最佳短片獎與最佳藝術貢獻獎。導演「誰先愛上他的」的金獎編劇徐譽庭，將與演而優則編、去年以電視劇「台北歌手」獲得金鐘獎戲劇節目編劇獎的演員莫子儀，攜手頒發最佳編劇獎。（編輯：翁翠萍）1080701,娛樂
27,（中央社記者程啟峰高雄1日電）睽違5年的「兩岸電影展」今天重回高雄市電影館舉辦，市長韓國瑜感謝高齡90歲的李行導演這些年辦「兩岸電影展」，不辭千里把台灣電影、影人帶往中國大陸各城市交流。開幕活動下午在高市電影館舉行，主辦單位「兩岸電影交流委員會」主任委員李行導演下午率領兩岸30餘人代表團與會，場面盛大，中華民國電影事業發展基金會董事長朱延平導演等國內資深影視業者也共襄盛舉。韓國瑜感謝高齡90歲的李行這些年間辦「兩岸電影展」，不辭千里把台灣電影、影人帶往中國大陸各城市交流，同時精挑細選中國大陸影片讓民眾可以在大銀幕上看到優秀的電影。他說，電影是個綜合性的藝術，可帶動很多產業發展、培養很多人才，影展願意來高雄，讓有志於電影、電視製作的朋友多得到成長的機會，來高雄辦這個活動令人很開心。除了感謝「兩岸電影展」在高雄舉辦，韓國瑜受訪時不小心口誤說成影展是第一次來高雄，但「兩岸電影展」早已在2014年時就曾在高雄舉辦過，這次是第二次來訪。李行上台致詞許願「兩岸電影展」能再辦10年，希望他100歲時還能到高雄來辦影展。第11屆「兩岸電影展」今天起一連3天共舉辦6場影片放映及2場講座。高雄市文化局影視發展中心指出，2014年舉辦第6屆「兩岸電影展」，當時李行也有南下高雄參加開幕活動，但規模及陣仗沒有今天這麼大。（編輯：黃世雅）1080701,娛樂
28,（中央社記者洪健倫台北1日電）國片「灼人秘密」導演趙德胤與3位主要演員吳可熙、夏于喬、宋芸樺今天為宣傳電影受訪，分享拍片的心路歷程。夏于喬說這是她第一次體會快樂與痛苦並行的拍攝經驗。「灼人秘密」由演員吳可熙編劇，結合好萊塢#MeToo運動的啟發以及吳可熙自身從影多年的心路，敘述一位女演員在堅持8年後終於得到擔任女主角機會，卻因此身陷可怕的夢靨。女星夏于喬，在片中飾演和吳可熙爭奪女主角機會的神秘女孩「3號」。她談到拍攝「灼人秘密」的經驗時說，「人生第一次體會到痛苦與快樂並行，快樂在於拍攝期間劇組團結的向心力，導演的認真精神，讓我們只想完成這件工作；痛苦在於花了2個月去恨主角妮娜，這是我進演藝圈第一次這麼恨一個人。」宋芸樺在片中飾演吳可熙的閨蜜，更有宋芸樺入行以來嘗試的最大尺度演出。為了和吳可熙培養閨蜜感情，宋芸樺開拍前有一陣子天天和吳可熙形影不離，她說，「那段時間的相處太過深刻，甚至我現在看到可熙，偶爾還是會有心疼她的感受。」吳可熙也說，她和宋芸樺從原本的互相不認識，到最後共享了許多「女孩秘密」。「灼人秘密」的劇情碰觸 #MeToo 敏感議題，還有女演員互相鬥爭、女演員拍戲挨巴掌的劇情。導演趙德胤透露，在籌資階段曾有歐美投資方認為，這些劇情內容都太敏感或太污辱人，希望趙德胤修改。但趙德胤表示，這些內容都是劇本很重要的部分，堅持保留劇情。也因此，歐美投資方最終決定抽身，讓劇組瞬間少了約1500萬的資金。然而，「灼人秘密」碰觸敏感議題的勇氣，獲得坎城影展肯定，在今年5月一舉入圍坎城「一種注目」單元，更引發歐美媒體高度關注。「灼人秘密」將於7月19日正式上映。（編輯：屈享平）1080701,娛樂
29,（中央社記者鄭景雯台北1日電）金曲30落幕，台視今天公布頒獎當天收視率，頒獎典禮平均收視率4.66，總收視人口341萬7000人。其中，歌手蔡依林領年度歌曲獎時收視率6.41為最高，約有141萬1000人同時收看。第30屆金曲獎頒獎典禮6月29日在台北小巨蛋舉行，台灣電視台今天公布典禮當天收視率。其中星光大道平均收視率0.93，總收視人口105萬1000人，有效收視（15至44歲）為0.96。頒獎典禮平均收視率為4.66，總收視人口約341萬7000人，有效收視（15至44歲）5.33。頒獎典禮收視率最高落在「玫瑰少年」獲頒年度歌曲獎，蔡依林、剃刀蔣上台致詞，收視高達6.41，收視人口約有141萬1000人。頒發「最佳國語女歌手」時，得獎者林憶蓮沒到場，由經紀人陳鎮川上台領獎，這段收視率也達5.98，約有收視人口131萬6000人。而本屆金曲國語歌王Leo王上台致詞時，收視5.97，收視人口約131萬4000人。表演節目收視率最高為6.39，落在S.H.E合體表演節目「我們」，收視人口約140萬6000人。主持人Lulu在後台掃QRcode交朋友，這段串場主持收視5.99，收視人口約131萬8000人；Lulu串場作畫介紹頒獎人蕭敬騰，收視率5.86，收視人口約129萬人。頒「最佳國語男歌手獎」前，Lulu串場發男歌手派對道具、與女歌手玩童顏濾鏡，收視率5.81，收視人口約127萬8000人，顯見Lulu首次主持金曲受到民眾肯定。台視也統計分眾收視，其中25至39歲女性6.58最高、20至34歲女性6.33次高、15至44歲女性6.31、30-54歲女性6.27、工作女性6.06。截至今天中午12時，第30屆金曲獎頒獎YouTube官方網路平台，總點擊數597萬315次。點擊排名前三名表演節目為蔡依林的「美」85萬5115次、G.E.M.鄧紫棋的STREAMING為71萬6710次、S.H.E「我們」70萬1334次。另外，中華電信MOD六視角播出、Hami Video網路獨家直播，金曲獎當日收視流量爆表，當晚五月天頒發「年度最佳單曲」獎項時，蔡依林和五月天阿信互相擁抱的歷史性畫面，MOD和Hami Video收看人數合計近20萬人，整體流量創下歷年新紀錄。（編輯：翁翠萍）1080701,娛樂
